Entry UTC,Exit UTC,Strike,Size,Start Spot,End Spot,Total P/L ($)
2025-01-13 08:05,2025-01-14 08:00,94000.0,0.0005,93535.36,94894.18,-99999.53
2025-01-13 12:00,2025-01-14 08:00,91000.0,0.0004,90874.84,94894.18,-89998.34
2025-01-13 16:00,2025-01-14 08:00,92000.0,0.0005,92018.35,94894.18,-80998.58
2025-01-13 20:00,2025-01-14 08:00,92000.0,0.0006,92216.16,94894.18,-72898.23
2025-01-14 00:00,2025-01-14 08:00,95000.0,0.0018,94546.99,94894.18,-196829.81
2025-01-14 04:00,2025-01-14 08:00,95000.0,0.0028,94933.8,94894.18,-137780.7
