Entry UTC,Exit UTC,Strike,Size,Start Spot,End Spot,Total P/L ($)
2025-01-01 08:05,2025-01-02 08:00,94000.0,0.002,93691.95,95868.62,-333329.68
2025-01-01 12:00,2025-01-02 08:00,93000.0,0.0004,93453.36,95868.62,-55554.52
2025-01-01 16:00,2025-01-02 08:00,94000.0,0.0004,94475.98,95868.62,-50925.23
2025-01-01 20:00,2025-01-02 08:00,95000.0,0.0004,94641.74,95868.62,-46681.75
2025-01-02 00:00,2025-01-02 08:00,95000.0,0.0004,94622.9,95868.62,-42791.55
2025-01-02 04:00,2025-01-02 08:00,95000.0,0.0025,95149.77,95868.62,-156901.55
